Age,n_years_Experience,n_Social_Media,Time_on_Social_Personal,Time_on_Social_Professional,Social_Most_Value_2,total_optimistic_score,total_pessimistic_score,Good_for_pub_aware_score,Strengthen_Dr_relationship_Score,Increase_patient_edu_score,Increase_collab_score,Deliver_healthcare_score
35.0,8.0,15.0,60.0,10.0,Instagram,72.0,87.66666666666667,90,58,93,83,71
41.0,10.0,10.0,60.0,0.0,Other,47.77777777777778,100.0,70,20,71,72,50
27.0,2.0,10.0,60.0,0.0,Instagram,74.22222222222223,56.666666666666664,79,78,78,76,76
55.0,22.0,0.0,0.0,0.0,,68.66666666666667,83.0,71,50,66,68,66
32.0,3.0,10.0,30.0,0.0,Facebook,60.666666666666664,88.83333333333333,62,18,69,76,76
43.0,10.0,12.0,15.0,1.0,Facebook,33.0,82.33333333333333,0,0,50,74,50
73.0,51.0,8.0,,,,51.333333333333336,70.5,50,49,49,62,50
28.0,2.0,18.0,60.0,5.0,Instagram,63.22222222222222,54.166666666666664,65,63,64,58,67
39.0,3.0,15.0,60.0,50.0,Facebook,66.88888888888889,74.33333333333333,50,50,50,99,97
55.0,30.0,1.0,10.0,0.0,Facebook,52.111111111111114,86.66666666666667,69,49,50,50,50
71.0,44.0,10.0,10.0,5.0,Other,67.22222222222223,93.33333333333333,67,67,66,67,68
49.0,17.0,12.0,3.0,30.0,Facebook,73.77777777777777,56.666666666666664,89,50,68,88,88
28.0,3.0,10.0,60.0,60.0,Instagram,78.33333333333333,76.16666666666667,100,50,100,100,100
56.0,26.0,2.0,0.0,30.0,Instagram,40.111111111111114,77.5,50,30,79,50,28
47.0,13.0,5.0,2.0,0.0,Facebook,45.22222222222222,97.16666666666667,87,0,100,71,19
40.0,15.0,10.0,45.0,0.0,Facebook,41.55555555555556,84.0,27,0,54,54,54
56.0,21.0,6.0,0.0,30.0,Other,73.55555555555556,78.83333333333333,93,39,94,91,93
40.0,15.0,3.0,45.0,0.0,Facebook,56.666666666666664,34.0,60,50,60,59,64
45.0,11.0,10.0,10.0,5.0,Facebook,51.333333333333336,89.66666666666667,64,19,67,60,50
39.0,10.0,8.0,10.0,0.0,Facebook,59.666666666666664,99.16666666666667,64,65,81,65,50
46.0,21.0,1.0,30.0,0.0,Facebook,38.333333333333336,88.0,31,22,58,50,50
39.0,7.0,9.0,60.0,10.0,Facebook,64.0,80.33333333333333,75,50,68,74,73
33.0,7.0,15.0,2.0,0.0,Other,58.0,59.333333333333336,66,50,65,66,55
39.0,12.0,12.0,60.0,0.0,Facebook,57.22222222222222,62.833333333333336,57,50,60,64,65
39.0,8.0,10.0,0.0,0.0,Facebook,16.88888888888889,91.5,50,0,50,50,0
40.0,14.0,11.0,20.0,0.0,Facebook,57.888888888888886,89.33333333333333,84,31,63,63,50
40.0,14.0,8.0,30.0,0.0,Facebook,50.22222222222222,91.83333333333333,92,50,50,50,50
38.0,4.0,12.0,20.0,20.0,Instagram,59.44444444444444,83.5,60,50,70,72,58
38.0,10.0,15.0,30.0,30.0,Other,78.0,93.33333333333333,50,100,100,100,52
35.0,5.0,10.0,10.0,60.0,Facebook,76.44444444444444,68.16666666666667,100,50,100,91,50
51.0,21.0,0.0,0.0,0.0,,37.111111111111114,84.5,83,13,50,12,12
54.0,25.0,3.0,15.0,0.0,Other,61.666666666666664,87.16666666666667,60,25,61,70,73
57.0,21.0,10.0,30.0,60.0,Facebook,74.0,95.16666666666667,100,2,98,100,100
39.0,10.0,0.0,0.0,0.0,,8.666666666666666,100.0,0,0,32,17,3
41.0,8.0,12.0,5.0,0.0,Other,52.333333333333336,100.0,50,50,57,50,64
53.0,23.0,10.0,0.0,5.0,Other,60.77777777777778,71.66666666666667,78,44,87,71,57
47.0,17.0,0.0,,,,47.0,93.83333333333333,50,0,73,50,50
49.0,19.0,0.0,0.0,0.0,,50.0,83.33333333333333,50,50,50,50,50
66.0,35.0,5.0,30.0,20.0,Other,66.55555555555556,54.833333333333336,90,49,61,75,55
40.0,4.0,10.0,30.0,0.0,Facebook,56.111111111111114,92.5,86,5,67,83,50
40.0,5.0,15.0,60.0,30.0,Instagram,59.888888888888886,77.66666666666667,84,52,65,80,68
56.0,22.0,8.0,10.0,0.0,Facebook,65.11111111111111,84.16666666666667,95,37,71,78,74
46.0,14.0,10.0,30.0,0.0,Instagram,35.111111111111114,99.83333333333333,78,0,73,50,19
